handle,title,body_html,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,variant_sku,weight,variant_price,variant_compare_at_price,image_src
tiger-zla-v7-rug,,,,X-Large,,,,,JA13341,4.0,119.99,239.99,
tiger-zla-v8-rug,"Tiger Zla V8 Rug","<ul><li><strong>Size:</strong><ul><li>Small: 5' x 3'</li><li>Medium: 6' x 4'</li><li>Large: 8' x 5'</li><li>X-Large: 9' x 6'</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your rug will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your rug perfect for any room, home or office.</li><li><strong>The enhanced soft pile</strong> keeps dirt out and keeps your rug looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li><li><strong>Shape:</strong> Rectangle.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your rug is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order rug to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10<br></li><li>DHL Express Shipping: $15<br></li></ul></li></ul></li><li><strong>M</strong><strong>ade with so much love.</strong></li></ul>",Size,Small,,,,,JA13342,4.0,49.99,99.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e5-ec6b-465d-8c7d-a5915074539c.jpeg
tiger-zla-v8-rug,,,,Medium,,,,,JA13342,4.0,69.99,139.99,
tiger-zla-v8-rug,,,,Large,,,,,JA13342,4.0,89.99,179.99,
tiger-zla-v8-rug,,,,X-Large,,,,,JA13342,4.0,119.99,239.99,
tiger-zla-v9-rug,"Tiger Zla V9 Rug","<ul><li><strong>Size:</strong><ul><li>Small: 5' x 3'</li><li>Medium: 6' x 4'</li><li>Large: 8' x 5'</li><li>X-Large: 9' x 6'</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your rug will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your rug perfect for any room, home or office.</li><li><strong>The enhanced soft pile</strong> keeps dirt out and keeps your rug looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li><li><strong>Shape:</strong> Rectangle.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your rug is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order rug to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10<br></li><li>DHL Express Shipping: $15<br></li></ul></li></ul></li><li><strong>M</strong><strong>ade with so much love.</strong></li></ul>",Size,Small,,,,,JA13343,4.0,49.99,99.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e6-4f89-4721-aa1a-af3974abb14a.jpeg
tiger-zla-v9-rug,,,,Medium,,,,,JA13343,4.0,69.99,139.99,
tiger-zla-v9-rug,,,,Large,,,,,JA13343,4.0,89.99,179.99,
tiger-zla-v9-rug,,,,X-Large,,,,,JA13343,4.0,119.99,239.99,
tiger-zla-v10-rug,"Tiger Zla V10 Rug","<ul><li><strong>Size:</strong><ul><li>Small: 5' x 3'</li><li>Medium: 6' x 4'</li><li>Large: 8' x 5'</li><li>X-Large: 9' x 6'</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your rug will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your rug perfect for any room, home or office.</li><li><strong>The enhanced soft pile</strong> keeps dirt out and keeps your rug looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li><li><strong>Shape:</strong> Rectangle.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your rug is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order rug to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10<br></li><li>DHL Express Shipping: $15<br></li></ul></li></ul></li><li><strong>M</strong><strong>ade with so much love.</strong></li></ul>",Size,Small,,,,,JA13344,4.0,49.99,99.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e6-c5b4-4639-a640-68ff6d7a2c2e.jpeg
tiger-zla-v10-rug,,,,Medium,,,,,JA13344,4.0,69.99,139.99,
tiger-zla-v10-rug,,,,Large,,,,,JA13344,4.0,89.99,179.99,
tiger-zla-v10-rug,,,,X-Large,,,,,JA13344,4.0,119.99,239.99,
v1-cute-beagle-hooded-blanket,"V1 Cute Beagle Hooded Blanket","<ul><li><strong>Specifications</strong></li><li><strong>Sizes:</strong><ul><li>Youth: 50"" x 60""</li><li>Adult: 60"" x 80""</li></ul></li></ul>
<p><strong>This hooded blanket is the PERFECT gift because it can be used for so many things! It's super soft and warm!!!</strong></p>
<p><strong>HOODED BLANKET:</strong> perfect to use when cold nights watching TV, reading a book on a coach, watching a movie, playing video games or fireside chats.</p>
<p><strong>COMFORTABLE & WARM: </strong>Made of anti-pilling polar fleece, more comfortable and warm. Super soft and excellent hand feeling.</p>
<p><strong>FABRIC CONTENT:</strong> 100% polyester, fine for people with sensitive skin or allergies, also completely resistant to shrinking and wrinkling.</p>
<p><strong>EASY CARE</strong>: Machine wash cold, tumble dry on low heat. Avoid direct heat. Do not use bleach. Lightweight, durable and could be folded away compactly.</p>
<ul><li><strong>We use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your hooded blanket is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order hooded blanket to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10</li><li>DHL Express Shipping: $15.</li></ul></li></ul></li></ul>
<p><strong>MADE WITH SO MUCH LOVE.</strong></p>",Size,YOUTH,,,,,JA13197,4.0,49.99,79.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99f3e7-22d8-4b21-a50f-878197be4cdd.jpeg
v1-cute-beagle-hooded-blanket,,,,ADULT,,,,,JA13197,4.0,59.99,99.99,
br-parrot-v1-doormat-1301,"BR Parrot V1 Doormat","<ul><li><strong>Size:</strong><ul><li>Small: 25"" x 15""</li><li>Medium: 30"" x 18""</li><li>Large: 35"" x 21""</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your doormat will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your doormat perfect for any room, home or office.</li><li><strong>Enhanced soft pile</strong> keeps dirt out and keeps your doormat looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your doormat is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order doormat to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li></ul></li><li><ul><li><strong>M</strong><strong>ade with so much love.</strong><br></li></ul></li></ul>",Size,Small,,,,,JA08154,0.0,29.99,49.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99fb93-1887-41da-996f-a3714c88e283.jpeg
br-parrot-v1-doormat-1301,,,,Medium,,,,,JA08154,0.0,39.99,69.99,
br-parrot-v1-doormat-1301,,,,Large,,,,,JA08154,0.0,49.99,89.99,
x0901-cat-strength-bedding-set-1301,"X0901 Cat Strength Bedding Set","<ul><li><strong>Size:</strong><ul><li>Twin: 65"" x 72""</li><li>Full: 70"" x 80""</li><li>Queen: 75"" x 85""</li><li>King: 80"" x 90""</li><li>Pillow Cover: 30"" x 18""</li></ul></li></ul>
<ul><li>Your bedding set features a <strong>Full Cotton and Microfiber build</strong>: the finest to the touch, no sweating under it, highly comfortable and very light.</li><li><strong>The set includes two pillow covers & one blanket cover</strong> in matching design.<br>Island of Roses's&nbsp;bedding sets is <strong>fully machine washable, durable and pleasant to the touch without losing color, bleeding, or fading</strong>.<br>That is ensured by using high-quality dye and tri-stage fabric enhancing. Furthermore, the fabric quality will ensure&nbsp;<strong>easy cleaning from pet hair and debris</strong>, which makes it ideal for pet owners.<br>We always make sure to feature all possible<strong> sizes</strong> so you will have a perfect fit.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your bedding set is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order bedding set to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li><li><strong>Shipping Cost:</strong><ul><li>DHL Shipping: $10<br></li><li>DHL Express Shipping: $15<br></li></ul></li></ul></li><li><strong>M</strong><strong>ade with so much love.</strong></li></ul>",Size,Twin,,,,,JA09238,0.0,49.99,89.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99fb93-6453-40c5-bdf2-c5436ed1783f.jpeg
x0901-cat-strength-bedding-set-1301,,,,King,,,,,JA09238,0.0,79.99,149.99,
x0901-cat-strength-bedding-set-1301,,,,Full,,,,,JA09238,0.0,59.99,109.99,
x0901-cat-strength-bedding-set-1301,,,,Queen,,,,,JA09238,0.0,69.99,129.99,
octopus-aniamal-nv8-doormat-1301,"Octopus Aniamal NV8 Doormat","<ul><li><strong>Size:</strong><ul><li>Small: 25"" x 15""</li><li>Medium: 30"" x 18""</li><li>Large: 35"" x 21""</li></ul></li><li><strong>Great for any decor</strong>, adds texture to the floor and complements any decor.</li><li><strong>Durable and resistant to soiling, stain, and fading</strong>.</li><li><strong>Feels soft under your foot</strong> and vivid colors won't fade over time. Your doormat will instantly add fashion to any room's decor. It features trendy colors as well as its design.</li><li><strong>Beautiful, blended colors along with clean, easy-to-match designs</strong> make your doormat perfect for any room, home or office.</li><li><strong>Enhanced soft pile</strong> keeps dirt out and keeps your doormat looking great for years. Easy to clean.</li><li>Made with 100% Polypropylene.</li></ul>
<ul><li><strong>W</strong><strong>e use DHL Shipping </strong>to ship your order!<ul><li><strong>Production Time:</strong> 7 - 10 days. Your doormat is made-to-order only for you so the production time will be a little bit longer than usual. Please be patient!</li><li><strong>Processing Time:</strong> 1 - 2 days. We need to ship your made-to-order doormat to our warehouse, put your name and address on it and ship it to <strong>DHL</strong>.</li><li><strong>Shipping Time:</strong> 8 - 12 days via <strong>DHL Shipping.</strong><br></li></ul></li><li><ul><li><strong>M</strong><strong>ade with so much love.</strong><br></li></ul></li></ul>",Size,Small,,,,,JA01305,0.0,29.99,49.99,https://storage.googleapis.com/fulfill/spaces/8f4b38d0-641f-47e3-a1ba-42f5f4facbed/2020/01/13/8f99fb93-c06a-4b77-a9e0-6cf59b110e37.jpeg
octopus-aniamal-nv8-doormat-1301,,,,Medium,,,,,JA01305,0.0,39.99,69.99,
octopus-aniamal-nv8-doormat-1301,,,,Large,,,,,JA01305,0.0,49.99,89.99,
